"onset" "subj" "trial"
"1" -184 1 1
"2" 312 1 1
"3" 564 1 1
"4" 516 1 2
"5" -180 1 3
"6" 520 1 3
"7" -380 1 4
"8" 68 1 4
"9" -88 1 5
"10" 568 1 5
"11" 356 1 6
"12" -396 1 7
"13" 396 1 7
"14" -52 1 8
"15" 296 1 8
"16" 448 1 8
"17" 412 1 9
"18" 436 1 9
"19" 524 1 9
"20" 380 1 10
"21" 372 1 11
"22" -304 1 12
"23" -268 1 12
"24" -188 1 12
"25" 356 1 12
"26" 288 1 13
"27" 448 1 13
"28" 504 1 13
"29" -380 1 14
"30" 28 1 14
"31" -204 1 15
"32" -300 1 16
"33" 288 1 16
"34" 256 1 17
"35" 448 1 17
"36" -376 1 18
"37" 208 1 18
"38" 276 1 18
"39" -140 1 19
"40" 360 1 19
"41" 408 1 19
"42" -228 1 20
"43" 260 1 20
"44" 396 1 20
"45" 360 1 21
"46" 284 1 22
"47" 228 1 23
"48" 240 1 23
"49" -328 1 24
"50" 52 1 24
"51" 408 1 24
"52" -288 1 25
"53" 348 1 25
"54" -244 1 26
"55" -52 1 26
"56" 364 1 26
"57" 252 1 27
"58" 32 1 28
"59" 368 1 28
"60" -24 1 29
"61" -48 1 30
"62" -88 1 31
"63" 336 1 31
"64" 592 1 31
"65" 264 1 32
"66" 76 1 33
"67" 372 1 33
"68" 508 1 33
"69" 520 1 33
"70" 344 1 34
"71" -20 1 35
"72" -120 1 36
"73" 540 1 36
"74" 596 1 36
"75" -348 1 37
"76" -212 1 37
"77" 600 1 37
"78" -144 1 38
"79" 348 1 38
"80" -256 1 39
"81" -20 1 39
"82" 372 1 39
"83" -144 1 40
"84" 584 1 40
"85" 284 1 41
"86" 420 1 41
"87" -244 1 42
"88" -88 1 42
"89" 288 1 42
"90" -212 1 43
"91" 16 1 43
"92" 344 1 43
"93" 524 1 43
"94" -176 1 44
"95" -368 1 45
"96" -96 1 45
"97" 356 1 45
"98" 580 1 45
"99" 568 1 46
"100" -356 1 47
"101" 348 1 47
"102" 340 1 48
"103" -124 1 49
"104" 52 1 49
"105" 84 1 49
"106" -256 1 50
"107" -80 1 50
"108" 284 1 50
"109" -184 1 51
"110" 348 1 51
"111" 56 1 52
"112" 364 1 52
"113" 484 1 52
"114" 56 1 53
"115" 364 1 53
"116" -348 1 54
"117" 588 1 54
"118" -228 1 55
"119" -192 1 55
"120" -32 1 55
"121" 328 1 55
"122" 280 1 56
"123" 476 1 56
"124" -184 1 57
"125" 244 1 57
"126" 328 1 57
"127" 456 1 57
"128" 520 1 57
"129" 316 1 58
"130" 416 1 58
"131" 504 1 58
"132" -8 1 59
"133" -276 1 60
"134" -88 1 60
"135" 284 1 60
"136" 236 1 61
"137" 240 1 61
"138" -92 1 62
"139" -48 1 62
"140" -140 1 63
"141" 288 1 63
"142" 352 1 63
"143" 456 1 63
"144" 352 1 64
"145" 256 1 65
"146" -204 1 66
"147" 280 1 66
"148" 324 1 66
"149" -188 1 67
"150" -56 1 67
"151" 0 1 67
"152" 216 1 67
"153" 588 1 67
"154" 492 1 68
"155" -372 1 69
"156" -368 1 69
"157" 456 1 69
"158" -348 1 70
"159" 324 1 70
"160" -276 1 71
"161" 592 1 71
"162" 308 1 72
"163" 80 1 73
"164" 340 1 73
"165" 312 1 74
"166" -292 1 75
"167" -44 1 75
"168" 336 1 75
"169" -36 1 76
"170" 372 1 76
"171" -108 1 77
"172" -16 1 77
"173" -340 1 78
"174" -96 1 78
"175" 320 1 78
"176" -144 1 79
"177" -220 1 80
"178" -48 1 80
"179" 304 1 80
"180" -300 1 81
"181" 336 1 81
"182" 516 1 81
"183" -284 1 82
"184" 452 2 83
"185" 328 2 84
"186" -36 2 85
"187" 356 2 85
"188" -380 2 86
"189" -324 2 86
"190" 324 2 86
"191" -336 2 87
"192" -264 2 87
"193" -132 2 87
"194" 248 2 87
"195" 540 2 87
"196" 96 2 88
"197" 304 2 88
"198" -220 2 89
"199" -400 2 90
"200" -188 2 90
"201" 516 2 90
"202" -308 2 91
"203" 304 2 91
"204" 328 2 91
"205" -92 2 92
"206" 244 2 92
"207" 576 2 92
"208" -28 2 93
"209" 316 2 93
"210" 572 2 93
"211" -152 2 94
"212" -248 2 95
"213" -200 2 95
"214" 420 2 95
"215" -248 2 96
"216" 88 2 96
"217" 148 2 96
"218" -348 2 97
"219" 324 2 97
"220" -260 2 98
"221" 32 2 98
"222" 344 2 98
"223" -64 2 99
"224" -120 2 100
"225" 64 2 100
"226" 316 2 100
"227" 392 2 100
"228" -384 2 101
"229" -28 2 101
"230" 276 2 101
"231" -148 2 102
"232" 72 2 102
"233" 40 2 103
"234" 356 2 103
"235" -320 2 104
"236" 316 2 104
"237" -120 2 105
"238" -300 2 106
"239" -124 2 106
"240" 28 2 106
"241" 336 2 106
"242" -400 2 107
"243" -160 2 107
"244" 248 2 107
"245" -240 2 108
"246" 284 2 108
"247" 496 2 108
"248" 100 2 109
"249" 456 2 109
"250" 268 2 110
"251" 512 2 110
"252" -336 2 111
"253" -100 2 111
"254" 312 2 111
"255" -152 2 112
"256" 276 2 112
"257" -312 2 113
"258" 12 2 113
"259" -152 2 114
"260" 484 2 114
"261" -268 2 115
"262" 388 2 115
"263" -244 2 116
"264" -172 2 116
"265" 520 2 116
"266" -320 2 117
"267" 296 2 117
"268" -184 2 118
"269" -116 2 118
"270" 16 2 118
"271" 44 2 118
"272" 336 2 118
"273" 8 2 119
"274" 248 2 119
"275" 552 2 119
"276" -28 2 120
"277" 268 2 120
"278" 244 2 121
"279" 520 2 121
"280" 300 2 122
"281" -316 2 123
"282" -280 2 123
"283" 20 2 123
"284" -304 2 124
"285" -132 2 124
"286" 92 2 124
"287" 292 2 124
"288" 92 2 125
"289" 456 2 125
"290" 44 2 126
"291" 300 2 126
"292" 56 2 127
"293" 344 2 127
"294" 92 2 128
"295" 216 2 128
"296" 336 2 128
"297" 256 2 129
"298" -212 2 130
"299" 4 2 130
"300" 416 2 130
"301" -60 2 131
"302" 268 2 131
"303" -328 2 132
"304" -112 2 132
"305" 280 2 132
"306" 524 2 132
"307" 576 2 132
"308" -24 2 133
"309" 300 2 133
"310" -368 2 134
"311" -124 2 134
"312" 24 2 134
"313" 288 2 134
"314" -304 2 135
"315" -88 2 135
"316" -124 2 136
"317" 76 2 136
"318" 300 2 136
"319" -308 2 137
"320" -284 2 137
"321" 24 2 137
"322" -156 2 138
"323" 276 2 138
"324" -228 2 139
"325" 264 2 139
"326" 248 2 140
"327" 4 2 141
"328" -132 2 142
"329" 304 2 142
"330" -264 2 143
"331" -108 2 143
"332" 300 2 143
"333" -312 2 144
"334" 404 3 145
"335" 300 3 146
"336" -188 3 147
"337" 556 3 147
"338" 316 3 148
"339" -68 3 149
"340" 540 3 149
"341" -396 3 150
"342" -60 3 150
"343" -352 3 151
"344" -72 3 151
"345" 296 3 151
"346" 32 3 152
"347" 88 3 152
"348" -240 3 153
"349" -4 3 153
"350" 392 3 153
"351" 392 3 153
"352" -140 3 154
"353" 324 3 154
"354" -280 3 155
"355" -228 3 155
"356" 520 3 155
"357" -40 3 156
"358" 300 3 156
"359" 348 3 156
"360" 528 3 156
"361" 464 3 157
"362" 348 3 158
"363" 520 3 158
"364" 440 3 159
"365" 420 3 160
"366" 0 3 161
"367" 496 3 161
"368" -376 3 162
"369" 312 3 162
"370" 516 3 162
"371" 512 3 163
"372" 80 3 164
"373" 340 3 164
"374" -356 3 165
"375" -256 3 165
"376" 476 3 165
"377" -304 3 166
"378" 28 3 166
"379" 480 3 166
"380" 408 3 167
"381" 580 3 167
"382" 332 3 168
"383" -232 3 169
"384" -60 3 169
"385" 332 3 169
"386" 348 3 169
"387" 424 3 169
"388" -168 3 170
"389" -96 3 170
"390" -60 3 170
"391" 360 3 170
"392" 308 3 171
"393" 304 3 172
"394" 428 3 172
"395" -320 3 173
"396" 52 3 173
"397" 348 3 173
"398" -28 3 174
"399" 332 3 174
"400" 360 3 174
"401" 320 3 175
"402" 556 3 175
"403" -216 3 176
"404" -184 3 176
"405" -360 3 177
"406" 4 3 177
"407" 552 3 177
"408" -152 3 178
"409" -76 3 178
"410" 304 3 178
"411" 540 3 178
"412" 556 3 178
"413" 520 3 179
"414" 236 3 180
"415" -164 3 181
"416" 244 3 181
"417" 348 3 181
"418" 284 3 182
"419" 520 3 182
"420" -132 3 183
"421" -56 3 183
"422" -140 3 184
"423" 8 3 184
"424" 300 3 184
"425" 364 3 184
"426" -208 3 185
"427" -140 3 185
"428" 304 3 185
"429" -44 3 186
"430" 464 3 186
"431" 464 3 186
"432" -52 3 187
"433" 396 3 187
"434" 388 3 188
"435" 516 3 188
"436" -96 3 189
"437" -116 3 190
"438" 348 3 190
"439" 280 3 191
"440" -340 3 192
"441" -212 3 192
"442" 444 3 192
"443" 392 3 193
"444" -360 3 194
"445" 572 3 194
"446" 268 3 195
"447" 464 3 195
"448" -44 4 196
"449" -232 4 197
"450" -356 4 198
"451" 332 4 198
"452" -4 4 199
"453" 60 4 199
"454" 88 4 199
"455" 292 4 199
"456" -212 4 200
"457" -140 4 200
"458" 36 4 200
"459" -304 4 201
"460" -244 4 201
